gene_id	gene_name	primary_state	structural_or_repair_caution	n_relevant_samples	relevant_effect_median	relevant_direction_consistency	boundary_slope_consistency	graph_edge_consistency	leave_one_out_direction_consistency	intended_score_correlation_median	detection_fraction_median	replicate_rule_pass	mouse_score_before_effect_percentile	mechanical_state_strength	immune_state_strength	scar_state_strength	effect_magnitude_percentile	mouse_spatial_score
ENSMUSG00000029381	Shroom3	mechanical_adverse	False	6	0.20182880378507606	1.0	1.0	1.0	1.0	0.2556666328673671	0.30231737956259275	True	27.533999797204203	0.05160089067937892	0.0	0.0	0.8817371074059713	34.587896656451974
ENSMUSG00000026355	Mcm6	scar_repair_associated	False	3	0.1477869323480734	1.0	1.0	1.0	1.0	0.35001641250178694	0.18102372034956304	True	27.815454280254166	0.0	0.0481238084873118	0.05172785187511694	0.8463832136940916	34.5865199898069
ENSMUSG00000039601	Rcan2	mechanical_adverse	False	6	0.42577072735665183	1.0	1.0	1.0	1.0	0.1659651540679536	0.707954263333867	True	26.99579092440772	0.07066310436337138	0.0	0.0	0.9488173710740597	34.5863298930002
ENSMUSG00000026628	Atf3	immune_fibrotic_adverse	False	3	0.10086136403168275	1.0	1.0	1.0	1.0	0.2441275265187207	0.15866839602248162	True	26.844791099449548	0.0	0.02462303532235897	0.023208510142122437	0.9672977624784854	34.58317319927743
ENSMUSG00000032788	Pdxk	scar_repair_associated	False	3	0.16317640317002646	1.0	1.0	1.0	1.0	0.33063606445039695	0.17812364894076957	True	27.655671120813928	0.0	0.05096424292617902	0.05395200375530883	0.8655991165102154	34.58046405289565
ENSMUSG00000024304	Cdh2	mechanical_adverse	False	6	0.3031432958216251	1.0	1.0	1.0	1.0	0.20352732771009693	0.7725586114646488	True	27.221163966260583	0.061697944911806746	0.0	0.0	0.9197363319115937	34.57905462155333
ENSMUSG00000021843	Ktn1	mechanical_adverse	False	6	0.30834329468557015	1.0	1.0	1.0	1.0	0.20142438305865423	0.6746365127176441	True	27.208546298351926	0.06210785790231378	0.0	0.0	0.9212873206669252	34.57884486368733
ENSMUSG00000058756	Thra	scar_repair_associated	False	3	0.13702826950898128	1.0	1.0	1.0	1.0	0.3223560581603768	0.3964548205793342	True	27.934136348962262	0.0	0.04014451185629987	0.04417189281545296	0.830480397570403	34.577979529525486
ENSMUSG00000074896	Ifit3	immune_fibrotic_adverse	False	3	0.12948607029553283	1.0	1.0	1.0	1.0	0.2722264445341116	0.14007782101167315	True	26.734525982379765	0.0	0.03524953253324695	0.03213460380600573	0.9802065404475043	34.5761783059598
ENSMUSG00000059995	Atxn7l3	scar_repair_associated	False	3	0.12352936281083382	1.0	1.0	1.0	1.0	0.3538487771735291	0.2363712026633375	True	28.123092663041174	0.0	0.040413822666584505	0.04371071397563877	0.806515737161789	34.575218560335486
ENSMUSG00000097415	AU020206	scar_repair_associated	False	3	0.1711852456914247	1.0	0.6666666666666666	1.0	1.0	0.48348780904010374	0.22513524760715772	True	27.567593520907288	0.0	0.07505576381616742	0.08276597937933879	0.8758696852567642	34.5745510029614
ENSMUSG00000054640	Slc8a1	mechanical_adverse	False	6	0.4503214450508435	1.0	0.8333333333333334	1.0	1.0	0.2681414262313365	0.7657384889693791	True	26.942181890721354	0.12074983453848961	0.0	0.0	0.9538580845288872	34.57304656695245
ENSMUSG00000060992	Copz1	scar_repair_associated	False	3	0.221022048560977	1.0	0.6666666666666666	1.0	1.0	0.4340215682860154	0.41697877652933835	True	27.27079607638276	0.0	0.08918001812273382	0.0959283361422231	0.9124240750966317	34.57018867715581
ENSMUSG00000021484	Lman2	scar_repair_associated	False	3	0.22347266897544482	1.0	0.6666666666666666	1.0	1.0	0.43118652511266214	0.51621271076524	True	27.25378581734264	0.0	0.09195052316450464	0.09635840359317427	0.9141910546659304	34.56731425467008
ENSMUSG00000028382	Ptbp3	scar_repair_associated	False	3	0.21075200733238453	1.0	0.6666666666666666	1.0	1.0	0.44214798328111804	0.3631647211413748	True	27.31955456635337	0.0	0.08518916850967444	0.09318357501446121	0.9056874654886803	34.565054290262815
ENSMUSG00000015755	Tab2	scar_repair_associated	False	3	0.14005309370880642	1.0	1.0	1.0	1.0	0.3139006197138882	0.311284046692607	True	27.88340371828333	0.0	0.04055210475681215	0.043962752908041594	0.8345665378244064	34.55993602087858
ENSMUSG00000053931	Cnn3	scar_repair_associated	False	3	0.23700827999608587	1.0	0.6666666666666666	0.6666666666666666	1.0	0.6422696759288649	0.538909696213067	True	27.18695138890652	0.0	0.14136964991669823	0.15222323118554373	0.9215902816123689	34.559673641805475
ENSMUSG00000005413	Hmox1	scar_repair_associated	False	3	0.2751039456835541	1.0	1.0	0.6666666666666666	1.0	0.39820482992611916	0.24635871826883063	True	27.055895646223384	0.0	0.09998700014084987	0.10954771990292399	0.937824406405301	34.55849089746579
ENSMUSG00000003435	Supt5	scar_repair_associated	False	3	0.1464249840838185	1.0	1.0	1.0	1.0	0.30125061353621463	0.4046692607003891	True	27.807503681217288	0.0	0.04034054615409588	0.04411061629228078	0.8438431805632247	34.55824912572309
ENSMUSG00000054693	Adam10	scar_repair_associated	False	3	0.22846596868510693	1.0	0.6666666666666666	1.0	1.0	0.42575431547488896	0.41156887224302957	True	27.221192559516	0.0	0.09233257950700158	0.09727037210683512	0.9169519602429597	34.55680824145968
ENSMUSG00000022969	Il10rb	scar_repair_associated	False	3	0.2392524734102529	1.0	1.0	1.0	1.0	0.1956727021681957	0.6277561608300908	True	27.174036213009174	0.0	0.0395872847047452	0.04681517797260858	0.9226946438431806	34.55559336375462
ENSMUSG00000035692	Isg15	scar_repair_associated	False	3	0.15561589754293317	1.0	1.0	1.0	1.0	0.32365108572084866	0.18331171638564633	True	27.691582260109787	0.0	0.0492213244189637	0.050365254195194664	0.8578685808945334	34.554530907266056
ENSMUSG00000026094	Stk17b	scar_repair_associated	False	3	0.12048300803825732	1.0	1.0	1.0	1.0	0.3577520985561472	0.19974059662775617	True	28.142621540753225	0.0	0.03927331795894717	0.04310304896604371	0.8008834897846494	34.54968945903042
ENSMUSG00000066306	Numa1	scar_repair_associated	False	3	0.15927427045333248	1.0	1.0	1.0	1.0	0.2758890431805687	0.32944228274967574	True	27.65533425908341	0.0	0.042603811204698375	0.043942026078653024	0.8617338487023743	34.549205048702404
ENSMUSG00000018559	Ctdnep1	scar_repair_associated	False	3	0.1787120255409933	1.0	1.0	1.0	1.0	0.24743448251838046	0.5196714223951578	True	27.484606895110282	0.0	0.038209593191976	0.04421951755954727	0.8827167310877968	34.54634074381266
ENSMUSG00000069833	Ahnak	scar_repair_associated	False	3	0.2644735345577447	1.0	0.6666666666666666	0.6666666666666666	1.0	0.6221098825420477	0.8979680069174233	True	27.06599262858562	0.0	0.15250288698372694	0.16453159951919874	0.9342904472667035	34.54031620671925
ENSMUSG00000028834	Trim63	mechanical_adverse	False	6	0.4114810833058845	1.0	1.0	1.0	1.0	0.16391100786011578	0.6361897128159901	True	26.983466047160693	0.06744627908003979	0.0	0.0	0.944552151996898	34.53988326313588
ENSMUSG00000033287	Kctd17	scar_repair_associated	False	3	0.2157412533653532	1.0	0.6666666666666666	1.0	1.0	0.43289742231505074	0.3828547648772368	True	27.26405120055697	0.0	0.08757766597128604	0.09339383246887967	0.9093318608503589	34.53870608735984
ENSMUSG00000020205	Phlda1	mechanical_adverse	False	6	0.2602614487877271	1.0	0.8333333333333334	1.0	1.0	0.3290958393930631	0.5086457098111004	True	27.307908369691713	0.08565095995045176	0.0	0.0	0.9038386971694455	34.53861794704728
ENSMUSG00000029223	Uchl1	mechanical_adverse	False	6	0.3531688161586134	1.0	0.6666666666666666	1.0	1.0	0.40281984513203595	0.4034230535545874	True	27.08358573745888	0.1422634078304771	0.0	0.0	0.9309810003877472	34.53143374056086
ENSMUSG00000053113	Socs3	scar_repair_associated	False	3	0.10626892796449255	1.0	1.0	1.0	1.0	0.4015532442890387	0.2151477320016646	True	28.40931946573423	0.0	0.03880956343649601	0.042672632791260136	0.7651021535063501	34.53013669378503
ENSMUSG00000043962	Thrap3	scar_repair_associated	False	3	0.13898237285229292	1.0	1.0	1.0	1.0	0.30961188964489356	0.3735408560311284	True	27.857671337869363	0.0	0.03887220167404449	0.04303059508612957	0.8335726118166759	34.52625223240277
ENSMUSG00000039982	Dtx4	scar_repair_associated	False	3	0.1773542831442425	1.0	1.0	1.0	1.0	0.3588462508626142	0.15397419891801914	True	27.46269048894597	0.0	0.05531823701505562	0.06364291958073795	0.8820541137493098	34.51912339894045
ENSMUSG00000058443	Rpl10-ps3	scar_repair_associated	False	3	0.18405777083068675	1.0	0.6666666666666666	1.0	1.0	0.45861952033702924	0.4469413233458177	True	27.41838378868884	0.0	0.07510273991787858	0.0844124865726724	0.8870237437879624	34.51457373899254
ENSMUSG00000026553	Copa	scar_repair_associated	False	3	0.20092962927799285	1.0	0.6666666666666666	1.0	1.0	0.4409204944351153	0.6160830090791181	True	27.312189633277356	0.0	0.08249602886392157	0.08859399148791702	0.900276090557703	34.51439835773898
ENSMUSG00000001123	Lgals9	scar_repair_associated	False	3	0.2186567938342195	1.0	0.6666666666666666	1.0	1.0	0.42639970891432194	0.45942571785268416	True	27.225064920152597	0.0	0.08940434428550596	0.09323519324305009	0.9107675317504141	34.51120517415591
ENSMUSG00000021373	Cap2	mechanical_adverse	False	6	0.27557883203366107	1.0	1.0	1.0	1.0	0.20260116977998105	0.4364104425718073	True	27.215607018679886	0.055832593736620646	0.0	0.0	0.9115936409461032	34.508356146248715
ENSMUSG00000050359	Sprr1a	mechanical_adverse	False	6	0.568470220359645	1.0	0.5	1.0	1.0	0.4575977159973301	0.5038867410645476	True	26.74558629598398	0.2601306744490725	0.0	0.0	0.9701434664598682	34.50673402766292
ENSMUSG00000031461	Myom2	mechanical_adverse	False	6	0.5247796643050479	1.0	1.0	1.0	1.0	0.12989173460656844	0.7223736739879687	True	26.77935040763941	0.06816454088283536	0.0	0.0	0.9658782473827064	34.50637638670106
ENSMUSG00000044627	Swi5	scar_repair_associated	False	3	0.23362639239250904	1.0	0.6666666666666666	1.0	1.0	0.4142429362901461	0.7980977086035452	True	27.15212428440754	0.0	0.08835756903750205	0.09677808277954679	0.9192711209276643	34.50629325182886
ENSMUSG00000090137	Uba52	immune_fibrotic_adverse	False	3	0.08540619300853325	1.0	0.6666666666666666	1.0	1.0	0.3670999758802902	0.9438202247191011	True	26.869266521948404	0.0	0.03135261139345996	0.030280942085311766	0.9543889845094664	34.50437839802414
ENSMUSG00000017781	Pitpna	scar_repair_associated	False	3	0.27118581310949175	1.0	0.6666666666666666	1.0	1.0	0.39105060650094314	0.5356679636835279	True	27.012970305672322	0.0	0.09687785504328347	0.10604737669091817	0.9363887355052457	34.50408018971429
ENSMUSG00000051615	Rap2a	scar_repair_associated	False	3	0.14869082823650687	1.0	1.0	1.0	1.0	0.2860626262906111	0.20103761348897536	True	27.716375757743666	0.0	0.03888942322242021	0.042534888830661303	0.8482606294864715	34.502460793635436
ENSMUSG00000079547	H2-DMb1	scar_repair_associated	False	3	0.14782095843560628	1.0	1.0	1.0	1.0	0.35474049364328636	0.1733679204496325	True	27.728961768604208	0.0	0.0496385758056817	0.052438079766270684	0.846604086140254	34.50179445772624
ENSMUSG00000043411	Usp48	scar_repair_associated	False	3	0.13905557754975145	1.0	1.0	1.0	1.0	0.3051353362612164	0.22846441947565543	True	27.830812017567297	0.0	0.03760976223325687	0.042430770414641064	0.833683048039757	34.50027640188535
ENSMUSG00000075415	Fnbp1	scar_repair_associated	False	3	0.1452560812262781	1.0	1.0	1.0	1.0	0.2933194611367449	0.3566375364128173	True	27.75991676682047	0.0	0.04001812186842592	0.042606435472127134	0.8421866372170072	34.49740986455653
ENSMUSG00000100599	1700120C14Rik	mechanical_adverse	False	6	0.23428957200176823	1.0	1.0	1.0	1.0	0.2255783199329155	0.34446632870805505	True	27.353469919597494	0.052850648029960715	0.0	0.0	0.8929817758821249	34.49732412665449
ENSMUSG00000052374	Actn2	mechanical_adverse	False	6	1.1662639590144157	1.0	0.8333333333333334	1.0	1.0	0.20497321289824016	0.9170265443163621	True	26.563172610722777	0.23905287076660628	0.0	0.0	0.9914695618456766	34.49492910548819
ENSMUSG00000035385	Ccl2	immune_fibrotic_adverse	False	3	0.1651241847038678	1.0	1.0	1.0	1.0	0.23556099142003195	0.14565126924677488	True	26.598134987221815	0.0	0.038896816656267576	0.027936705967370024	0.9870912220309811	34.494864763469664
ENSMUSG00000066151	Fkbp15	scar_repair_associated	False	3	0.14412808418853182	1.0	1.0	1.0	1.0	0.3001498155457641	0.19808572617561382	True	27.77218478590879	0.0	0.03885121353224429	0.04326001788415218	0.840088348978465	34.492891577736515
ENSMUSG00000022781	Pak2	scar_repair_associated	False	3	0.1416702650660167	1.0	1.0	1.0	1.0	0.3002270962888591	0.33000416146483563	True	27.801362577733155	0.0	0.04057501872116518	0.042533252311243185	0.8363335173937051	34.492030716882795
ENSMUSG00000029428	Stx2	scar_repair_associated	False	3	0.13309466399680075	1.0	1.0	1.0	1.0	0.31650124210520375	0.21184608733246865	True	27.899007452631224	0.0	0.04136535272457679	0.04212462647256218	0.8240750966316952	34.491608225684786
ENSMUSG00000032594	Ip6k1	scar_repair_associated	False	3	0.1901017172104581	1.0	0.6666666666666666	1.0	1.0	0.44759659224385184	0.37536412817311693	True	27.352246220129775	0.0	0.0772597668974792	0.08508888080310545	0.8922142462727775	34.489960190312
ENSMUSG00000001741	Il16	scar_repair_associated	False	3	0.17146548193057276	1.0	1.0	1.0	1.0	0.29530411374455906	0.18060757386600082	True	27.480938290457367	0.0	0.04261796160280227	0.050634462179291496	0.8759801214798454	34.48877926229613
ENSMUSG00000026254	Eif4e2	scar_repair_associated	False	3	0.19091304243516172	1.0	0.6666666666666666	1.0	1.0	0.4462435549405805	0.3495630461922597	True	27.344127996310146	0.0	0.08035033186299138	0.08519371474078846	0.8929872998343457	34.488026394984914
ENSMUSG00000037552	Plekhg2	scar_repair_associated	False	3	0.18418045450266718	1.0	0.6666666666666666	1.0	1.0	0.45347369430411344	0.32251352476071576	True	27.387508832491346	0.0	0.07531414424300488	0.08352099112193517	0.8873550524572059	34.48634925214899
ENSMUSG00000006024	Napa	scar_repair_associated	False	3	0.1683150863959002	1.0	1.0	1.0	1.0	0.25146341528688915	0.6061392131431041	True	27.508780491721335	0.0	0.03902997999860144	0.04232508646942088	0.871893981225842	34.483932341528075
ENSMUSG00000031586	Rbpms	mechanical_adverse	False	6	0.2791150542985372	1.0	1.0	1.0	1.0	0.195817835529429	0.6444284767732757	True	27.174907013176576	0.054655705796418604	0.0	0.0	0.9135323768902676	34.48316602829872
ENSMUSG00000020790	Ankfy1	scar_repair_associated	False	3	0.12925153530546077	1.0	1.0	1.0	1.0	0.3253756372511328	0.2213899292550978	True	27.952253823506798	0.0	0.03854663539592166	0.04205530066570158	0.8163445610160133	34.48301031163491
ENSMUSG00000049401	Ogfr	scar_repair_associated	False	3	0.14403556527372555	1.0	1.0	1.0	1.0	0.29384288934514957	0.31041936878512755	True	27.763057336070897	0.0	0.039234830900672125	0.0423238266684934	0.8398674765323026	34.48199714832932
ENSMUSG00000041697	Cox6a1	scar_repair_associated	False	3	0.17361855824482708	1.0	0.6666666666666666	1.0	1.0	0.46488907354708947	0.9014267185473411	True	27.456001107949202	0.0	0.07907828298286856	0.08071337069301905	0.8781888459414688	34.481511875480955
