human_gene_name	human_gene_id	primary_state	drug_key	drug_name	sources	pair_source_count	raw_actions	normalized_action	desired_action	direction_match	mechanism_text	max_clinical_phase	approval_or_warning	disease_context	upstream_evidence_sources	mouse_spatial_score	human_support_score	pharmacology_score	repair_safety_penalty	target_final_priority_score	target_priority_tier	pair_qualifies_for_tier_a	claim_boundary
CCR2	ENSG00000121807	scar_repair_associated	DRUGBANK:DB16240	BMS-813160	DGIdb	1		unknown	context_dependent	unknown	DGIdb interaction type	0.0			TTD	33.771147530522995	0.810687524793558	20.0	10.0	44.58183505531655	tier_c	False	therapeutic hypothesis; not efficacy or treatment recommendation
CCR2	ENSG00000121807	scar_repair_associated	IUPHAR.LIGAND:10585	COMPOUND 39 [PMID: 31742400]	DGIdb	1	modulator: None	unknown	context_dependent	unknown	DGIdb interaction type	0.0			GuideToPharmacology	33.771147530522995	0.810687524793558	20.0	10.0	44.58183505531655	tier_c	False	therapeutic hypothesis; not efficacy or treatment recommendation
CCR2	ENSG00000121807	scar_repair_associated	IUPHAR.LIGAND:10586	JNJ-27141491	DGIdb	1	modulator: None	unknown	context_dependent	unknown	DGIdb interaction type	0.0			GuideToPharmacology	33.771147530522995	0.810687524793558	20.0	10.0	44.58183505531655	tier_c	False	therapeutic hypothesis; not efficacy or treatment recommendation
CCR2	ENSG00000121807	scar_repair_associated	IUPHAR.LIGAND:11597	BMS-753426	DGIdb	1	inhibitor: INHIBITORY	inhibit	context_dependent	protective_conflict	DGIdb interaction type	0.0			GuideToPharmacology	33.771147530522995	0.810687524793558	20.0	10.0	44.58183505531655	tier_c	False	therapeutic hypothesis; not efficacy or treatment recommendation
CCR2	ENSG00000121807	scar_repair_associated	IUPHAR.LIGAND:11598	BMS-741672	DGIdb	1	inhibitor: INHIBITORY	inhibit	context_dependent	protective_conflict	DGIdb interaction type	0.0			GuideToPharmacology	33.771147530522995	0.810687524793558	20.0	10.0	44.58183505531655	tier_c	False	therapeutic hypothesis; not efficacy or treatment recommendation
CCR2	ENSG00000121807	scar_repair_associated	IUPHAR.LIGAND:1272	CCL16	DGIdb	1	agonist: ACTIVATING	activate	context_dependent	unresolved	DGIdb interaction type	0.0			GuideToPharmacology	33.771147530522995	0.810687524793558	20.0	10.0	44.58183505531655	tier_c	False	therapeutic hypothesis; not efficacy or treatment recommendation
CCR2	ENSG00000121807	scar_repair_associated	IUPHAR.LIGAND:3502	GSK COMPOUND 34	DGIdb	1	inhibitor: INHIBITORY	inhibit	context_dependent	protective_conflict	DGIdb interaction type	0.0			GuideToPharmacology	33.771147530522995	0.810687524793558	20.0	10.0	44.58183505531655	tier_c	False	therapeutic hypothesis; not efficacy or treatment recommendation
CCR2	ENSG00000121807	scar_repair_associated	IUPHAR.LIGAND:759	CCL7	DGIdb	1	agonist: ACTIVATING	activate	context_dependent	unresolved	DGIdb interaction type	0.0			GuideToPharmacology	33.771147530522995	0.810687524793558	20.0	10.0	44.58183505531655	tier_c	False	therapeutic hypothesis; not efficacy or treatment recommendation
CCR2	ENSG00000121807	scar_repair_associated	IUPHAR.LIGAND:762	[125I]CCL2 (HUMAN)	DGIdb	1	agonist: ACTIVATING	activate	context_dependent	unresolved	DGIdb interaction type	0.0			GuideToPharmacology	33.771147530522995	0.810687524793558	20.0	10.0	44.58183505531655	tier_c	False	therapeutic hypothesis; not efficacy or treatment recommendation
CCR2	ENSG00000121807	scar_repair_associated	IUPHAR.LIGAND:765	[125I]CCL7 (HUMAN)	DGIdb	1	agonist: ACTIVATING	activate	context_dependent	unresolved	DGIdb interaction type	0.0			GuideToPharmacology	33.771147530522995	0.810687524793558	20.0	10.0	44.58183505531655	tier_c	False	therapeutic hypothesis; not efficacy or treatment recommendation
CCR2	ENSG00000121807	scar_repair_associated	IUPHAR.LIGAND:768	VMIP-II	DGIdb	1	inhibitor: INHIBITORY	inhibit	context_dependent	protective_conflict	DGIdb interaction type	0.0			GuideToPharmacology	33.771147530522995	0.810687524793558	20.0	10.0	44.58183505531655	tier_c	False	therapeutic hypothesis; not efficacy or treatment recommendation
CCR2	ENSG00000121807	scar_repair_associated	IUPHAR.LIGAND:769	CCL11	DGIdb	1	agonist: ACTIVATING	activate	context_dependent	unresolved	DGIdb interaction type	0.0			GuideToPharmacology	33.771147530522995	0.810687524793558	20.0	10.0	44.58183505531655	tier_c	False	therapeutic hypothesis; not efficacy or treatment recommendation
CCR2	ENSG00000121807	scar_repair_associated	IUPHAR.LIGAND:770	CCL13	DGIdb	1	agonist: ACTIVATING	activate	context_dependent	unresolved	DGIdb interaction type	0.0			GuideToPharmacology	33.771147530522995	0.810687524793558	20.0	10.0	44.58183505531655	tier_c	False	therapeutic hypothesis; not efficacy or treatment recommendation
CCR2	ENSG00000121807	scar_repair_associated	IUPHAR.LIGAND:771	CCL2	DGIdb	1	agonist: ACTIVATING	activate	context_dependent	unresolved	DGIdb interaction type	0.0			GuideToPharmacology	33.771147530522995	0.810687524793558	20.0	10.0	44.58183505531655	tier_c	False	therapeutic hypothesis; not efficacy or treatment recommendation
CCR2	ENSG00000121807	scar_repair_associated	IUPHAR.LIGAND:772	CCL8	DGIdb	1	agonist: ACTIVATING	activate	context_dependent	unresolved	DGIdb interaction type	0.0			GuideToPharmacology	33.771147530522995	0.810687524793558	20.0	10.0	44.58183505531655	tier_c	False	therapeutic hypothesis; not efficacy or treatment recommendation
CCR2	ENSG00000121807	scar_repair_associated	IUPHAR.LIGAND:773	HIV-TAT	DGIdb	1	agonist: ACTIVATING	activate	context_dependent	unresolved	DGIdb interaction type	0.0			GuideToPharmacology	33.771147530522995	0.810687524793558	20.0	10.0	44.58183505531655	tier_c	False	therapeutic hypothesis; not efficacy or treatment recommendation
CCR2	ENSG00000121807	scar_repair_associated	IUPHAR.LIGAND:774	VCCL4	DGIdb	1	agonist: ACTIVATING	activate	context_dependent	unresolved	DGIdb interaction type	0.0			GuideToPharmacology	33.771147530522995	0.810687524793558	20.0	10.0	44.58183505531655	tier_c	False	therapeutic hypothesis; not efficacy or treatment recommendation
