scenario	human_gene_name	mouse_component	human_component	pharmacology_component	penalty_component	scenario_score	scenario_rank	top10	median_rank_all_scenarios	rank_range_all_scenarios	top10_frequency_all_scenarios
primary	SMPX	36.29998001828528	9.54839073443462	0.8531882898651648	12.0	34.70155904258507	91	False	91.0	79-91	0.0
primary	XIRP2	37.38143858478706	6.978885873872303	0.8874035921687083	12.0	33.24772805082807	92	False	92.0	84-95	0.0
primary	CRIP2	34.992932603418204	9.962888272068437	0.12417883117405981	12.0	33.07999970666069	93	False	93.0	82-94	0.0
primary	CKB	35.948771564452755	4.339635126645433	3.837823325377173	12.0	32.12623001647536	94	False	94.0	80-96	0.0
primary	POSTN	29.198280858968932	11.603832214193016	5.736954296236388	16.0	30.53906736939834	95	False	95.0	81-96	0.0
primary	MYL6	37.519953341715635	12.799369007893063	0.10643899814919411	20.0	30.42576134775789	96	False	96.0	69-96	0.0
primary	CTHRC1	36.54058653315989	7.47156519857569	1.0672444664800795	20.0	25.079396198215655	97	False	97.0	87-97	0.0
omit_mouse	COL6A1	0.0	14.456331422118977	24.0	4.0	34.45633142211898	1	True	1.0	1-7	1.0
omit_mouse	COL6A2	0.0	13.689627215818795	24.49645966091785	4.0	34.186086876736645	2	True	3.0	2-8	1.0
omit_mouse	CD74	0.0	13.172477316397735	20.0	0.0	33.17247731639773	3	True	2.0	1-10	1.0
omit_mouse	FN1	0.0	16.67872935562358	30.0	14.0	32.67872935562358	4	True	4.0	1-26	0.9473684210526315
omit_mouse	MYH7	0.0	14.728942737573128	30.0	15.0	29.728942737573128	5	True	5.0	2-64	0.9473684210526315
omit_mouse	COL18A1	0.0	12.49594820317738	25.813443833940156	10.0	28.309392037117533	6	True	6.0	5-34	0.9473684210526315
omit_mouse	TNFRSF12A	0.0	9.5119761840276	18.669937898515077	0.0	28.181914082542676	7	True	9.0	5-18	0.9473684210526315
omit_mouse	MT-ND4	0.0	14.432252380628745	16.651204014595372	3.0	28.08345639522412	8	True	11.0	6-16	0.3157894736842105
omit_mouse	COL5A1	0.0	13.999295393280267	26.412247207510944	14.0	26.411542600791208	9	True	7.0	4-53	0.8947368421052632
omit_mouse	TNNT2	0.0	14.215148314176075	26.0	14.0	26.215148314176076	10	True	10.0	6-69	0.631578947368421
omit_mouse	MT-ND5	0.0	13.465192743525977	15.647967533414494	3.0	26.11316027694047	11	False	13.0	9-19	0.05263157894736842
omit_mouse	COL3A1	0.0	16.60946893010749	24.0	15.0	25.60946893010749	12	False	8.0	3-37	0.7894736842105263
omit_mouse	LOXL2	0.0	6.6080543202634505	18.886991651243285	0.0	25.495045971506734	13	False	12.0	7-33	0.15789473684210525
omit_mouse	IL1B	0.0	0.6115359844727385	25.554570149158685	3.0	23.166106133631423	14	False	18.0	6-88	0.05263157894736842
omit_mouse	ENG	0.0	9.750365912639621	20.888693907032213	8.0	22.639059819671836	15	False	15.0	12-66	0.0
omit_mouse	VIM	0.0	12.916839943006185	18.870442863965017	10.0	21.787282806971202	16	False	14.0	11-27	0.0
omit_mouse	CSF1	0.0	4.630174891277472	18.0	1.0	21.63017489127747	17	False	16.0	9-47	0.05263157894736842
omit_mouse	TGFB1	0.0	7.304502126233318	25.01240803954329	14.0	18.316910165776605	18	False	21.0	14-90	0.0
omit_mouse	CXCL12	0.0	12.345751958441584	23.00647066125395	18.0	17.35222261969553	19	False	17.0	9-85	0.05263157894736842
omit_mouse	LY6E	0.0	6.465482680695467	10.880861287342233	0.0	17.3463439680377	20	False	23.0	18-62	0.0
omit_mouse	ITGA1	0.0	6.727289782040006	10.225260375235125	0.0	16.95255015727513	21	False	30.0	21-71	0.0
omit_mouse	IGFBP7	0.0	13.82823358850675	2.8069353040487472	0.0	16.635168892555498	22	False	19.0	1-52	0.05263157894736842
omit_mouse	TGM2	0.0	9.19366322876041	6.143194604301974	0.0	15.336857833062385	23	False	26.0	8-67	0.05263157894736842
