candidate_gene	candidate_mouse_spatial_score	null_index	matched_mouse_gene	matched_mouse_spatial_score	detection_distance	effect_percentile_distance	seed
COL6A2	37.11388253125003	11	H2afz	37.16955235681372	0.02089152502303382	0.008245080978643626	20260711
COL6A2	37.11388253125003	12	Pde4dip	34.15438590278526	0.03475140479457017	0.019869874445991975	20260711
COL6A2	37.11388253125003	13	Atp1a2	33.93169834975166	0.042255850151586394	0.0326655316774771	20260711
COL6A2	37.11388253125003	14	C1qc	38.76530713631692	0.03256467677400654	0.004675957121853314	20260711
COL6A2	37.11388253125003	15	Arhgdia	36.562528244527044	0.020391177694548457	0.01619648904048787	20260711
COL6A2	37.11388253125003	16	Ifitm2	36.3797482923492	0.024071726165898366	0.037400243872072636	20260711
COL6A2	37.11388253125003	17	Gpx1	37.07115601771142	0.02969213256451486	0.0005145453629616936	20260711
COL6A2	37.11388253125003	18	Arpc1b	38.46454406242473	0.054099042863087754	0.002135923990986388	20260711
COL6A2	37.11388253125003	19	Timm13	33.384187256650264	0.02796277674955594	0.027538726333907082	20260711
COL6A2	37.11388253125003	20	Myh9	36.61935274975054	0.024968789013732784	0.012993838571133898	20260711
COL6A2	37.11388253125003	21	Trdn	33.43124752427453	0.03668196828474257	0.029951301355646942	20260711
COL6A2	37.11388253125003	22	Ryr2	33.58276281482334	0.020331740449472502	0.025686082278485234	20260711
COL6A2	37.11388253125003	23	Hspb8	34.97232347409121	0.042135517604917405	0.02374734633432085	20260711
COL6A2	37.11388253125003	24	Ankrd23	36.539922535335315	0.05831420101736273	0.008625205969838512	20260711
COL6A2	37.11388253125003	25	Fabp5	37.15092690159473	0.009372201738747421	0.004786393344934581	20260711
COL6A2	37.11388253125003	26	Flna	37.18336854903352	0.05576362879733665	0.0006249815860428498	20260711
COL6A2	37.11388253125003	27	Loxl1	37.8482414148572	0.01831044527673742	0.007140718747831953	20260711
COL6A2	37.11388253125003	28	Lgmn	38.48813773966411	0.07709558900919888	0.0034611586679604844	20260711
COL6A2	37.11388253125003	29	H2-Ab1	37.94324228445103	0.038617422126362766	0.0060240963855421326	20260711
COL6A2	37.11388253125003	30	Pdia3	36.792059912954585	0.0029130253849355414	0.021276555302221722	20260711
FN1	38.42100883309308	1	Pfdn5	35.92646026914804	0.012970168612191912	0.028602981778023118	20260711
FN1	38.42100883309308	2	Atp1b1	36.09075981215257	0.036457169395249345	0.009485011355147455	20260711
FN1	38.42100883309308	3	Grn	37.37679368633097	0.0579334198011241	0.0007730535615682044	20260711
FN1	38.42100883309308	4	Cdc42	36.0903104035533	0.01859057501080852	0.037106570955273255	20260711
FN1	38.42100883309308	5	Ctnnb1	35.18099480110017	0.0025940337224383825	0.08536720044174484	20260711
FN1	38.42100883309308	6	Eef1g	36.023976478330354	0.05966277561608302	0.029265599116510166	20260711
FN1	38.42100883309308	7	Rpl36al	35.51102870975489	0.03329009943795935	0.05488680287134173	20260711
FN1	38.42100883309308	8	Pdlim5	36.18883514122059	0.05579523751621074	0.014913471998807881	20260711
FN1	38.42100883309308	9	Mpc1	32.54796834550329	0.0026332712208445574	0.03430083144045193	20260711
FN1	38.42100883309308	10	Cd63	37.47044051095648	0.02161694768698663	0.014577581446714505	20260711
FN1	38.42100883309308	11	Uqcrfs1	33.261787035227854	0.0505511023496269	0.026158140474961344	20260711
FN1	38.42100883309308	12	Calr	36.69600005067132	0.005609071669492205	0.014356709000552192	20260711
FN1	38.42100883309308	13	Cfl2	35.286954941049814	0.015690108134637448	0.03779055613994786	20260711
FN1	38.42100883309308	14	Selenow	35.49746157981436	0.03718115002161693	0.05201546107123134	20260711
