human_gene_name	primary_state	mouse_spatial_score	human_support_score	pharmacology_score	repair_safety_penalty	final_priority_score	priority_tier	best_drug_name	best_drug_action	direction_match	best_pair_source_count
ACTN2	mechanical_adverse	34.49492910548819	9.946633729165892	9.0	12.0	41.44156283465408	caution_protective		unknown	unknown	0
ZNF703	immune_fibrotic_adverse	35.32426596378708	4.465184227092011	1.5	0.0	41.28945019087909	tier_c	LOSARTAN POTASSIUM	unknown	unknown	1
DYNC1H1	immune_fibrotic_adverse	34.92318662951692	5.362987845287527	3.0	2.0	41.28617447480445	tier_c		unknown	unknown	0
HSPB7	mechanical_adverse	36.68943150639182	10.705689178958828	5.571356912631749	12.0	40.9664775979824	caution_protective		unknown	unknown	0
DMAP1	immune_fibrotic_adverse	33.27431220026157	6.613317906387088	3.06208941558703	2.0	40.94971952223569	tier_c		unknown	unknown	0
MB	mechanical_adverse	33.77651474837653	14.008568164983352	4.893273398342892	12.0	40.67835631170277	caution_protective		unknown	unknown	0
GNG11	immune_fibrotic_adverse	33.7889901713773	6.393834076025538	0.0443495825621642	0.0	40.227173829965	tier_c		unknown	unknown	0
NRBP1	immune_fibrotic_adverse	34.820767800850454	5.386905291297036	2.0	2.0	40.20767309214749	tier_c		unknown	unknown	0
BGN	scar_repair_associated	38.18319495707481	15.476927607202173	0.0	14.0	39.66012256427698	caution_protective		unknown	unknown	0
AEBP1	scar_repair_associated	38.97510710870379	14.349653117989408	0.2338317912772415	14.0	39.55859201797044	caution_protective		unknown	unknown	0
MYOZ2	mechanical_adverse	33.77845174270693	11.740953443310246	6.0	12.0	39.519405186017174	caution_protective		unknown	unknown	0
THBS2	scar_repair_associated	39.19078493827794	10.807426677741963	2.9527802188472454	14.0	38.95099183486715	caution_protective	BEVACIZUMAB	unknown	unknown	1
FBLN2	scar_repair_associated	37.76392910916151	12.921602662326848	2.192970070235607	14.0	38.87850184172397	caution_protective		unknown	unknown	0
FBLN1	scar_repair_associated	37.87291719664806	13.000630576935327	1.4041392900611849	14.0	38.27768706364458	caution_protective		unknown	unknown	0
FSTL1	scar_repair_associated	37.508004569500194	13.775023681378508	0.9503446510206116	14.0	38.233372901899315	caution_protective		unknown	unknown	0
SORBS2	mechanical_adverse	36.01349892974574	9.942743305107754	3.599731083004312	12.0	37.555973317857806	caution_protective		unknown	unknown	0
ITGB1	immune_fibrotic_adverse	36.93772440390659	5.943079944022225	9.5	15.0	37.380804347928816	caution_protective	VOLOCIXIMAB	inhibit	matched	2
SLC6A6	immune_fibrotic_adverse	34.809477934037815	5.906400145258589	8.336859220772505	12.0	37.052737300068905	caution_protective		unknown	unknown	0
CASQ2	mechanical_adverse	34.2084394804805	12.400284238389922	2.252475699396435	12.0	36.86119941826686	caution_protective		unknown	unknown	0
TGFBR2	immune_fibrotic_adverse	36.07726659414027	7.810770907147257	5.5	13.0	36.38803750128753	caution_protective	LY2109761	inhibit	matched	1
LOX	scar_repair_associated	38.07302453560941	8.216561043764852	8.849266211611926	20.0	35.13885179098619	caution_protective	CCT365623	inhibit	protective_conflict	1
SMPX	mechanical_adverse	36.29998001828528	9.54839073443462	0.8531882898651648	12.0	34.70155904258507	caution_protective		unknown	unknown	0
XIRP2	mechanical_adverse	37.38143858478706	6.978885873872303	0.8874035921687083	12.0	33.24772805082807	caution_protective		unknown	unknown	0
CRIP2	mechanical_adverse	34.992932603418204	9.962888272068437	0.1241788311740598	12.0	33.07999970666069	caution_protective		unknown	unknown	0
CKB	immune_fibrotic_adverse	35.948771564452755	4.339635126645433	3.837823325377173	12.0	32.12623001647536	caution_protective		unknown	unknown	0
POSTN	mechanical_adverse	29.198280858968932	11.603832214193016	5.736954296236388	16.0	30.53906736939834	caution_protective	ANTISERUM	unknown	unknown	1
MYL6	scar_repair_associated	37.519953341715635	12.799369007893064	0.1064389981491941	20.0	30.42576134775789	caution_protective		unknown	unknown	0
CTHRC1	scar_repair_associated	36.54058653315989	7.47156519857569	1.0672444664800795	20.0	25.079396198215655	caution_protective		unknown	unknown	0
